;catalog_number;cataloged_date;Start Date;start_year;start_month;cataloged_month;cataloged_year;class;kingdom;genus;species;family;phylum;order;type;author;determiner_last_name;determiner_first_name;determiner_full_name;collector_full_name;collector_full_name2;collector_full_name3;collector_full_name4;collector_first_name;collector_last_name;qualifier;min_depth;max_depth;lat;long;continent;water_body;country;state;county;locality
0;MNRJP 000001;1999-00-00;1999-02-01;1999.0;2.0;0;1999;Polychaeta;Animalia;Neanthes;caudata;Nereididae;Annelida;Phyllodocida;;(Delle Chiaje, 1827);Omena;Elianne;Elianne Omena;Elianne Omena;M. Medeiros;Luiz Felipe Skinner;Non-identified;Elianne;Omena;;;;-22.7569444;-41.9055556;;Atlantic Ocean;Brazil;;Buzios;Praia da Tartaruga 
1;MNRJP 000002;1999-00-00;1999-02-02;1999.0;2.0;0;1999;Polychaeta;Animalia;Neanthes;caudata;Nereididae;Annelida;Phyllodocida;;(Delle Chiaje, 1827);Omena;Elianne;Elianne Omena;Elianne Omena;M. Medeiros;Luiz Felipe Skinner;Non-identified;Elianne;Omena;;;;-22.8822222;-42.005;;Atlantic Ocean;Brazil;;Cabo Frio;Ilha do Japones
2;MNRJP 000003;1999-00-00;1999-01-01;1999.0;1.0;0;1999;Polychaeta;Animalia;Ceratonereis;sp.;Nereididae;Annelida;Phyllodocida;;;Omena;Elianne;Elianne Omena;Elianne Omena;Fabio Pitombo;Non-identified;Non-identified;Elianne;Omena;;;;-23.0083333;-43.9311111;;Atlantic Ocean;Brazil;;Mangaratiba;Ilha de Jaguanum - Praia do Catita
3;MNRJP 000004;1999-00-00;1999-01-01;1999.0;1.0;0;1999;Polychaeta;Animalia;Nereis;sp.;Nereididae;Annelida;Phyllodocida;;;Omena;Elianne;Elianne Omena;Elianne Omena;Fabio Pitombo;Non-identified;Non-identified;Elianne;Omena;;;;-22.9361111;-43.9125;;Atlantic Ocean;Brazil;;Mangaratiba;Ilha de Itacuruçá - Praia Aguada
4;MNRJP 000005;1999-00-00;1999-03-01;1999.0;3.0;0;1999;Polychaeta;Animalia;Poecilochaetus;australis;Poecilochaetidae;Annelida;Spionida;;Nonato, 1963;Omena;Elianne;Elianne Omena;Elianne Omena;Fabio Pitombo;Joana Zanol;Non-identified;Elianne;Omena;;0.0;0.0;-23.0102778;-44.2338889;;Atlantic Ocean;Brazil;;Angra dos Reis;Monsuaba - Praia das Eguas
5;MNRJP 000006;1999-00-00;1999-03-01;1999.0;3.0;0;1999;Polychaeta;Animalia;Poecilochaetus;australis;Poecilochaetidae;Annelida;Spionida;;Nonato, 1963;Omena;Elianne;Elianne Omena;Elianne Omena;Et. Al;Non-identified;Non-identified;Elianne;Omena;;;;-23.2144444;-44.6266667;;Atlantic Ocean;Brazil;;Paraty;Saco da Velha
6;MNRJP 000007;1999-00-00;1999-01-01;1999.0;1.0;0;1999;Polychaeta;Animalia;Poecilochaetus;australis;Poecilochaetidae;Annelida;Spionida;;Nonato, 1963;Omena;Elianne;Elianne Omena;Elianne Omena;Fabio Pitombo;Non-identified;Non-identified;Elianne;Omena;;;;-22.9361111;-43.9125;;Atlantic Ocean;Brazil;;Mangaratiba;Ilha de Itacuruçá - Praia Aguada
7;MNRJP 000008;1999-00-00;1999-02-01;1999.0;2.0;0;1999;Polychaeta;Animalia;Terebellides;anguicomus;Trichobranchidae;Annelida;Terebellida;;(Muller, 1858);Omena;Elianne;Elianne Omena;Elianne Omena;M. Medeiros;Luiz Felipe Skinner;Non-identified;Elianne;Omena;;;;-22.77;-41.8880556;;Atlantic Ocean;Brazil;;Buzios;Praia da Ferradura
8;MNRJP 000009;1999-00-00;1999-01-01;1999.0;1.0;0;1999;Polychaeta;Animalia;Pseudeurythoe;ambigua;Amphinomidae;Annelida;Amphinomida;;(Monro, 1933);Omena;Elianne;Elianne Omena;Elianne Omena;Fabio Pitombo;Non-identified;Non-identified;Elianne;Omena;;;;-22.9361111;-43.9125;;Atlantic Ocean;Brazil;;Mangaratiba;Ilha de Itacuruçá - Praia Aguada
9;MNRJP 000010;1999-00-00;1999-02-01;1999.0;2.0;0;1999;Polychaeta;Animalia;Sthenelais;articulata;Sigalionidae;Annelida;Phyllodocida;;Kinberg, 1856;Omena;Elianne;Elianne Omena;Elianne Omena;M. Medeiros;Luiz Felipe Skinner;Non-identified;Elianne;Omena;;;;-22.77;-41.8880556;;Atlantic Ocean;Brazil;;Buzios;Praia da Ferradura
10;MNRJP 000011;1999-00-00;1999-03-01;1999.0;3.0;0;1999;Polychaeta;Animalia;Glycera;americana;Glyceridae;Annelida;Phyllodocida;;Leidy, 1855;Omena;Elianne;Elianne Omena;Elianne Omena;Et. Al;Non-identified;Non-identified;Elianne;Omena;;;;-23.2144444;-44.6266667;;Atlantic Ocean;Brazil;;Paraty;Saco da Velha
11;MNRJP 000012;1999-00-00;1999-02-01;1999.0;2.0;0;1999;Polychaeta;Animalia;Pectinaria;neapolitana;Pectinariidae;Annelida;Terebellida;;Claparede, 1869;Omena;Elianne;Elianne Omena;Elianne Omena;M. Medeiros;Luiz Felipe Skinner;Non-identified;Elianne;Omena;;;;-22.77;-41.8880556;;Atlantic Ocean;Brazil;;Buzios;Praia da Ferradura
12;MNRJP 000013;1999-00-00;1999-03-01;1999.0;3.0;0;1999;Polychaeta;Animalia;Clymenella;brasiliensis;Maldanidae;Annelida;Sedentaria_order_incertae_sedis;;Mangum, 1966;Omena;Elianne;Elianne Omena;Elianne Omena;Et. Al;Non-identified;Non-identified;Elianne;Omena;;;;-23.2144444;-44.6266667;;Atlantic Ocean;Brazil;;Paraty;Saco da Velha
13;MNRJP 000014;1999-00-00;1999-03-01;1999.0;3.0;0;1999;Polychaeta;Animalia;Sigambra;grubei;Pilargidae;Annelida;Phyllodocida;;Muller, 1858;Omena;Elianne;Elianne Omena;Elianne Omena;Et. Al;Non-identified;Non-identified;Elianne;Omena;;;;-23.2144444;-44.6266667;;Atlantic Ocean;Brazil;;Paraty;Saco da Velha
