;Catalog Number;Cataloged Date;Cataloger First Name;Cataloger Last Name;Online;Object Condition;Return Date;Count;Remarks;Specimen condition;Kingdom;Phylum 1;Class 1;Order 1;Family 1;Genus 1;Species 1;Species Author 1;Species Author Year 1;Qualifier 1;Type Status 1;Current 1;Determiner Last Name 1;Determined date 1;Remarks 1;Phylum 2;Class 2;Order 2;Family 2;Genus 2;Species 2;Species Author 2;Qualifier 2;Type Status 2;Current 2;Determiner Last Name 2;Determined date 2;Remarks 2;Start Date;End Date;Verbatim Date;Collector First Name 1;Collector Middle 1;Collector Last Name 1;Collector First Name 2;Collector Middle 2;Collector Last Name 2;Collector First Name 3;Collector Middle 3;Collector Last Name 3;Collector First Name 4;Collector Middle 4;Collector Last Name 4;Min Depth;Max Depth;Substratum;Habitat;Associated Taxa;Researcher Code;Trip Name;Remarks (CT);Method;Prep Type 1;Count 1;Description 1;Fluid Preservation 1;Storage Location 1;Prep Type 2;Count 2;Description 2;Fluid Preservation 2;Storage Location 2;Prep Type 3;Count 3;Description 3;Fluid Preservation 3;Storage Location 3;Continent;WaterBody;Country;State;County;Locality Name;Verbatim locality;Locality and habitat notes;LocationRemarks;Latitude/Longitude Type;Latitude;Longitude;Object Condition Citation;Journal
0;IBUFRJ 0001;1992-03-03;Unknown;Unknown;Yes;Available;;1.0;;Complete specimen;Animalia;Annelida ;Polychaeta;Eunicida;Eunicidae;Eunice;marcusi;Zanol, Paiva & Attolini;2000;;Holotype;True;"Paulo C. Paiva; Joana Zanol";1998-00-00;;;;;;;;;;;True;;;;;;;Navio;;Astro Garoupa;;;;;;;;;;44.0;44.0;Medium sand;Marine;;;Monitoramento da Bacia de Campos;;Dragging net;Formaldehyde 4%;1.0;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Bacia de Campos;Bacia de Campos;;;Point;-21.6902778;-40.3461111;;
1;IBUFRJ 0002;1992-03-03;Unknown;Unknown;Yes;Available;;1.0;;Incomplete specimen;Animalia;Annelida ;Polychaeta;Eunicida;Eunicidae;Eunice;marcusi;Zanol, Paiva & Attolini;2000;;Paratype;True;"Paulo C. Paiva; Joana Zanol";1998-00-00;;;;;;;;;;;True;;;;;;;Navio;;Astro Garoupa;;;;;;;;;;44.0;44.0;Medium sand;Marine;;;Monitoramento da Bacia de Campos;;Dragging net;Formaldehyde 4%;1.0;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Bacia de Campos;Bacia de Campos;;;Point;-21.6902778;-40.3461111;;
2;IBUFRJ 0003;1992-03-03;Unknown;Unknown;Yes;Available;;5.0;;Incomplete specimen;Animalia;Annelida ;Polychaeta;Eunicida;Eunicidae;Eunice;marcusi;Zanol, Paiva & Attolini;2000;;Paratype;True;"Paulo C. Paiva; Joana Zanol";1998-00-00;;;;;;;;;;;True;;;;;;;Navio;;Astro Garoupa;;;;;;;;;;29.0;29.0;Biodetritic calcareous;Marine;;;Monitoramento da Bacia de Campos;;Chain bag dredge;Formaldehyde 4%;5.0;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Bacia de Campos;Bacia de Campos;;;Point;-21.3502222;-40.5833611;;
3;IBUFRJ 0004;1996-03-06;Unknown;Unknown;Yes;Available;;10.0;;Incomplete specimen;Animalia;Annelida ;Polychaeta;Eunicida;Eunicidae;Eunice;marcusi;Zanol, Paiva & Attolini;2000;;Paratype;True;"Paulo C. Paiva; Joana Zanol";1998-00-00;;;;;;;;;;;True;;;;;;;;;;;;;;;;;;;82.0;82.0;Biodetritic calcareous and sand;Marine;;;Projeto Revizee. N/ApOc Antares;;Dragging net;Formaldehyde 4%;10.0;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;South America;Atlantic Ocean;Brazil;Rio de Janeiro;Rio de Janeiro;Rio de Janeiro;;;;Point;-22.8783333;-41.1541667;;
4;IBUFRJ 0005;1991-07-15;Unknown;Unknown;Yes;Available;;1.0;;Incomplete specimen;Animalia;Annelida ;Polychaeta;Eunicida;Eunicidae;Eunice;marcusi;Zanol, Paiva & Attolini;2000;;Paratype;True;"Paulo C. Paiva; Joana Zanol";1998-00-00;;;;;;;;;;;True;;;;;;;Navio;;Astro Garoupa;;;;;;;;;;20.0;20.0;Biodetritic calcareous;Marine;;;Monitoramento da Bacia de Campos;;Van Veen grab;Formaldehyde 4%;1.0;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Bacia de Campos;Bacia de Campos;;;Point;-21.345;-40.595;;
5;IBUFRJ 0006;1985-07-25;Unknown;Unknown;Yes;Available;;2.0;;Incomplete specimen;Animalia;Annelida ;Polychaeta;Phyllodocida;Glyceridae;Glycera;americana;Leidy;1855;;;True;Paulo C. Paiva;1999-00-00;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;Marine;;;;Moleque  Est. 7;;Formaldehyde 4%;2.0;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;South America;Atlantic Ocean;Brazil;Espírito Santo;;Caçamba;;;Inaccurate locality. Coordinates roughly approximated by the State;Point;-20.0;-40.15;;
6;IBUFRJ 0007;1997-10-03;Unknown;Unknown;Yes;Available;;7.0;;"Complete specimen (1); Incomplete specimens (6) ";Animalia;Annelida ;Polychaeta;Sabellida;Serpulidae;Spirobranchus;giganteus;(Pallas; 1766);;;True;Paulo C. Paiva;1999-00-00;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;3.0;3.0;;Marine;;;Lancha Flamar - SCUBA;;;Formaldehyde 4%;7.0;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;South America;Atlantic Ocean;Brazil;Bahia;Caravelas, Abrolhos;Ilha Siriba;;;;Point;-17.9668611;-38.7127778;;
7;IBUFRJ 0008;1997-11-01;Unknown;Unknown;Yes;Available;;3.0;;Incomplete specimen;Animalia;Annelida ;Polychaeta;Eunicida;Eunicidae;Eunice;donathi;Carrera-Parra & Salazar-Vallejo;1998;;;True;"Paulo C. Paiva; Joana Zanol";1998-00-00;;;;;;;;;;;False;;;;;;;Navio;;Astro Garoupa;;;;;;;;;;65.0;65.0;;Marine;;;Projeto Revizee;;;Formaldehyde 4%;3.0;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;South America;Atlantic Ocean;Brazil;Espírito Santo;;Espírito Santo;;;;Point;-18.5936111;-37.9125;;
8;IBUFRJ 0009;1992-03-15;Unknown;Unknown;Yes;Available;;1.0;;Complete specimen. Bad preservation;Animalia;Annelida ;Polychaeta;Eunicida;Eunicidae;Eunice;donathi;Carrera-Parra & Salazar-Vallejo;1998;;;True;"Paulo C. Paiva; Joana Zanol";1998-00-00;;;;;;;;;;;False;;;;;;;Navio;;Astro Garoupa;;;;;;;;;;29.0;29.0;;Marine;;;Monitoramento da Bacia de Campos;;;Formaldehyde 4%;1.0;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Bacia de Campos;Bacia de Campos;;;Point;-21.3502222;-40.5833611;;
9;IBUFRJ 0010;1997-11-03;Unknown;Unknown;Yes;Available;;1.0;;Incomplete specimen;Animalia;Annelida ;Polychaeta;Eunicida;Eunicidae;Eunice;donathi;Carrera-Parra & Salazar-Vallejo;1998;;;True;"Paulo C. Paiva; Joana Zanol";1998-00-00;;;;;;;;;;;False;;;;;;;Navio;;Astro Garoupa;;;;;;;;;;55.0;55.0;;Marine;;;Projeto Revizee;;;Formaldehyde 4%;1.0;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;South America;Atlantic Ocean;Brazil;Espírito Santo;;Espírito Santo;;;;Point;-20.8666667;-40.1666667;;
