;numero_catalogo;data_entrada;data_determinacao;DataColetaInicial;ano_entrada;mes_entrada;ano_determinacao;mes_determinacao;ano_coleta;mes_coleta;class;kingdom;genero_ent;genero_atual;especie_ent;especie_atual;subespecie_atual;type;DeterminatorFirstName1;DeterminatorLastName1;altitude;max_altitude;ordem;familia;phylum;qualificador_atual;notas_taxonomicas
0;2438;;00/11/2018; ;;;2018.0;11.0;;;Reptilia;Animalia;Nan;Phrynops;nan;geoffroanus;-;;L.;Cunha;;;Testudines;Chelidae;Chordata;-;
1;3194;;;;;;;;;;Reptilia;Animalia;Heloderma;Heloderma;suspectum;suspectum;nan;;;;;;Squamata;Helodermatidae;Chordata;;
2;3195;;;;;;;;;;Reptilia;Animalia;Amphisbaena;Amphisbaena;alba;alba;nan;;;;;;Squamata;Amphisbaenidae;Chordata;;
3;3196;;;;;;;;;;Reptilia;Animalia;Drymarchon;Drymarchon;corais;corais;nan;;;;;;Squamata;Colubridae;Chordata;;
4;3197;;;;;;;;;;Reptilia;Animalia;Charina;Charina;bottae;bottae;nan;;;;;;Squamata;Boidae;Chordata;;
5;3198;;;;;;;;;;Reptilia;Animalia;Farancia;Farancia;abacura;abacura;reinwardtei;;;;;;Squamata;Colubridae;Chordata;;
6;3199;;;;;;;;;;Reptilia;Animalia;Rheinocheilus;Rhinocheilus;lecontei;lecontei;nan;;;;;;Squamata;Colubridae;Chordata;;
7;3200;;;;;;;;;;Reptilia;Animalia;Elaphe;Elaphe;quadrivittata;quadrivirgata;nan;;;;;;Squamata;Colubridae;Chordata;;
8;3201;;;;;;;;;;Reptilia;Animalia;Lampropeltis;Lampropeltis;getulus;getula;nan;;;;;;Squamata;Colubridae;Chordata;;
9;3202;;;;;;;;;;Reptilia;Animalia;Tantilla;Tantilla;gracilis;gracilis;gracilis;;;;;;Squamata;Colubridae;Chordata;;
10;3203;;;;;;;;;;Reptilia;Animalia;Opheodrys;Opheodrys;aestivus;aestivus;nan;;;;;;Squamata;Colubridae;Chordata;;
11;3204;;;;;;;;;;Reptilia;Animalia;Agkistrodon;Agkistrodon;mokeson;contortrix;nan;;;;;;Squamata;Viperidae;Chordata;;
12;3205;;;;;;;;;;Reptilia;Animalia;Keteridon;Agkistrodon;contotrix;contotrix;nan;;;;;;Squamata;Viperidae;Chordata;;
13;3206;;;;;;;;;;Reptilia;Animalia;Diadophis;Diadophis;punctatus;punctatus;nan;;;;;;Squamata;Colubridae;Chordata;;
14;3207;;;;;;;;;;Reptilia;Animalia;Coluber;Coluber;constrictor;constrictor;nan;;;;;;Squamata;Colubridae;Chordata;;
15;3208;;;;;;;;;;Reptilia;Animalia;Carphophis;Carphophis;amoena;amoenus;nan;;;;;;Squamata;Colubridae;Chordata;;
16;3209;;;;;;;;;;Reptilia;Animalia;Natrix;Natrix;sipedon;sipedon;nan;;;;;;Squamata;Colubridae;Chordata;;
17;3210;;;;;;;;;;Reptilia;Animalia;Thamnophis;Thamnophis;sirtalis;sirtalis;sirtalis;;;;;;Squamata;Natricidae;Chordata;;
18;3211;;;;;;;;;;Reptilia;Animalia;Micrurus;Micrurus;fulvius;fulvius;nan;;;;;;Squamata;Elapidae;Chordata;;
19;3212;;;;;;;;;;Reptilia;Animalia;Crotalus;Crotalus;adamanteus;adamanteus;nan;;;;;;Squamata;Viperidae;Chordata;;
20;3213;;;;;;;;;;Reptilia;Animalia;Natrix;Nerodia;sipedon;sipedon;sipedon;;;;;;Squamata;Colubridae;Chordata;;
21;3214;;;;;;;;;;Reptilia;Animalia;Storeria;Storeria;dekayi;dekayi;nan;;;;;;Squamata;Natricidae;Chordata;;
22;3215;;;;;;;;;;Reptilia;Animalia;Agkistrodon;Agkistrodon;piscivorus;piscivorus;nan;;;;;;Squamata;Viperidae;Chordata;;
23;3216;;;;;;;;;;Reptilia;Animalia;Terrapene;Terrapene;carolina;carolina;nan;;;;;;Testudines;Emydidade;Chordata;;
24;3217;;18/04/2001;;;;2001.0;4.0;;;Reptilia;Animalia;Amyda;Apalone;ferox;ferox;nan;;M.;Cardoso;;;Testudines;Trionychidae;Chordata;;
25;3218;;;;;;;;;;Reptilia;Animalia;Chelydra;Chelydra;serpentina;serpentina;nan;;;;;;Testudines;Chelydridae;Chordata;;
26;3219;;;;;;;;;;Reptilia;Animalia;Chrysemys;Chrysemys;picta;picta;nan;;;;;;Testudines;Emydidae;Chordata;;
27;3220;;;;;;;;;;Reptilia;Animalia;Clemmys;Clemmys;guttata;guttata;nan;;;;;;Testudines;Emydidae;Chordata;;
28;3221;;;;;;;;;;Reptilia;Animalia;Kinosternon;Kinosternon;sububrum;sububrum;nan;;;;;;Testudines;Kinosternidae;Chordata;;
29;3222;;;;;;;;;;Reptilia;Animalia;Kinosternon;Kinosternon;sububrum;sububrum;nan;;;;;;Testudines;Kinosternidae;Chordata;;
30;3223;;;00/05/1956;;;;;1956.0;5.0;Reptilia;Animalia;Apostolepis;Apostolepis;flavotorquata;flavotorquata;nan;;;;;;Squamata;Dipsadidae;Chordata;;
31;3224;;;00/05/1956;;;;;1956.0;5.0;Reptilia;Animalia;Bothrops;Bothrops;atrox;atrox;nan;;;;;;Squamata;Viperidae;Chordata;;
32;3225;;;00/05/1956;;;;;1956.0;5.0;Reptilia;Animalia;Bothrops;Bothrops;atrox;atrox;nan;;;;;;Squamata;Viperidae;Chordata;;
33;3226;;;00/05/1956;;;;;1956.0;5.0;Reptilia;Animalia;Bothrops;Bothrops;atrox;atrox;nan;;;;;;Squamata;Viperidae;Chordata;;
34;3227;;;00/05/1956;;;;;1956.0;5.0;Reptilia;Animalia;Bothrops;Bothrops;atrox;atrox;nan;;;;;;Squamata;Viperidae;Chordata;;
35;3228;;;00/05/1956;;;;;1956.0;5.0;Reptilia;Animalia;Bothrops;Bothrops;atrox;atrox;nan;;;;;;Squamata;Viperidae;Chordata;;
36;3229;;;00/05/1956;;;;;1956.0;5.0;Reptilia;Animalia;Bothrops;Bothrops;moojeni;moojeni;nan;;;;;;Squamata;Viperidae;Chordata;;
37;3230;;;00/05/1956;;;;;1956.0;5.0;Reptilia;Animalia;Mastigodryas;Mastigodryas;bifossatus;bifossatus;nan;;;;;;Squamata;Colubridae;Chordata;;
38;3231;;;00/05/1956;;;;;1956.0;5.0;Reptilia;Animalia;Spilotes;Spilotes;pullatus;pullatus;nan;;;;;;Squamata;Colubridae;Chordata;;
39;3232;;;00/03/1956;;;;;1956.0;3.0;Reptilia;Animalia;Crotalus;Crotalus;terrificus;terrificus;nan;;;;;;Squamata;Viperidae;Chordata;;
40;3233;;;00/03/1956;;;;;1956.0;3.0;Reptilia;Animalia;Mastigodryas;Mastigodryas;bifossatus;bifossatus;nan;;;;;;Squamata;Colubridae;Chordata;;
41;3234;;;00/03/1956;;;;;1956.0;3.0;Reptilia;Animalia;Epicrates;Epicrates;cenchria;cenchria;nan;;;;;;Squamata;Boidae;Chordata;;
42;3235;;;00/03/1956;;;;;1956.0;3.0;Reptilia;Animalia;Pseudoboa;Pseudoboa;trigeminus;trigeminus;nan;;;;;;Squamata;Dipsadidae;Chordata;sp.;
43;3236;;;00/03/1956;;;;;1956.0;3.0;Reptilia;Animalia;Xenodon;Xenodon;rabdocephalus;rabdocephalus;nan;;;;;;Squamata;Dipsadidae;Chordata;;
44;3237;;;00/03/1956;;;;;1956.0;3.0;Reptilia;Animalia;Erythrolamprus;Erythrolamprus;aesculpii;aesculpii;nan;;;;;;Squamata;Dipsadidae;Chordata;;
45;3238;;;00/03/1956;;;;;1956.0;3.0;Reptilia;Animalia;Leptodeira;Leptodeira;annulata;annulata;nan;;;;;;Squamata;Dipsadidae;Chordata;;
46;3239;;;01/07/1957;;;;;1957.0;7.0;Reptilia;Animalia;Philodryas;Philodryas;aestivus;aestivus;nan;;;;;;Squamata;Dipsadidae;Chordata;;
47;3240;;;01/07/1957;;;;;1957.0;7.0;Reptilia;Animalia;Simophis;Simophis;rhinostoma;rhinostoma;nan;;;;;;Squamata;Colubridae;Chordata;;
48;3241;;;01/07/1957;;;;;1957.0;7.0;Reptilia;Animalia;Philodryas;Philodryas;aestivus;aestivus;nan;;;;;;Squamata;Dipsadidae;Chordata;;
49;3242;;;01/07/1957;;;;;1957.0;7.0;Reptilia;Animalia;Chironius;Chironius;flavolineatus;flavolineatus;nan;;;;;;Squamata;Colubridae;Chordata;;
50;3243;;;01/05/1957;;;;;1957.0;5.0;Reptilia;Animalia;Oxyrhopus;Oxyrhopus;trigeminus;trigeminus;nan;;;;;;Squamata;Dipsadidae;Chordata;;
51;3244;;00/08/2000;01/05/1957;;;2000.0;8.0;1957.0;5.0;Reptilia;Animalia;Mastigodryas;Mastigodryas;bifossatus;bifossatus;nan;;P.;Passos;;;Squamata;Colubridae;Chordata;;
